FP_AdjClou,FP_AdjWate,FP_MAD_DT,FP_MAD_T4,FP_MAD_T5,FP_MeanDT,FP_MeanRad,FP_MeanT4,FP_MeanT5,FP_Rad13,FP_SolAzAn,FP_SolZenA,FP_T4,FP_T5,FP_ViewAzA,FP_ViewZen,FP_WinSize,FP_confide,FP_day,FP_latitud,FP_line,FP_longitu,FP_power,FP_sample,FP_AdjCl_1,FP_AdjWa_1,FP_MAD_DT_,FP_MAD_T4_,FP_MAD_T5_,FP_MeanDT_,FP_MeanR_1,FP_MeanT4_,FP_MeanT5_,FP_Rad13_3,FP_SolAz_1,FP_SolZe_1,FP_T4_3,FP_T5_3,FP_ViewA_1,FP_ViewZ_1,FP_WinSi_1,FP_confi_1,FP_day_3,FP_latit_1,FP_line_3,FP_longi_1,FP_power_3,FP_sample_,FP_AdjCl_2,FP_AdjWa_2,FP_MAD_D_1,FP_MAD_T_1,FP_MAD_T_2,FP_MeanD_1,FP_MeanR_2,FP_MeanT_1,FP_MeanT_2,FP_Rad13_2,FP_SolAz_2,FP_SolZe_2,FP_T4_2,FP_T5_2,FP_ViewA_2,FP_ViewZ_2,FP_WinSi_2,FP_confi_2,FP_day_2,FP_latit_2,FP_line_2,FP_longi_2,FP_power_2,FP_sampl_1,icon_url
"0","0",-2.292128562927250,5.574109077453610,7.866237640380860,14.663843154907200,1.210471153259280,316.712768554688012,302.048980712891023,1.518277764320370,-53.020000457763707,35.290000915527301,342.923858642578011,312.054870605468977,-103.769996643065994,21.930000305175799,"10","8","1",-38.981357574462898,"50",-64.057418823242202,4.118250846862791,"2481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","3",0.601316928863525,5.380565166473390,4.779248237609860,8.669212341308590,0.880585789680481,307.683898925780966,299.014556884766023,1.092880249023440,-42.099998474121101,31.619998931884801,332.615173339843977,300.547882080078011,81.720001220703111,23.739999771118200,"10","8","1",-39.623519897460902,"183",-71.253646850585895,2.943287134170530,"3979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",1.991543769836430,6.451601982116700,4.460058212280270,7.932962894439700,0.671487927436829,306.296539306641023,298.363189697266023,1.057295680046080,-42.319999694824197,31.659999847412099,346.911804199219034,298.850646972656023,81.959999084472699,23.029998779296900,"10","8","1",-39.594337463378899,"187",-71.132194519042997,5.275211334228520,"3956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",1.769499778747560,6.656208038330080,4.886708259582520,8.719873428344730,0.714316129684448,304.230438232421989,295.510467529296932,1.146257162094120,-42.159999847412102,31.619998931884801,340.383361816406023,296.460266113281023,81.989997863769503,23.590000152587901,"10","8","1",-39.605640411377003,"187",-71.227470397949205,5.973214626312260,"3974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",2.124554157257080,6.535639286041260,4.411085128784180,8.071040153503420,0.707688629627228,306.301818847656023,298.230499267578011,3.261922359466550,-42.319999694824197,31.659999847412099,349.098999023438012,300.510284423828011,82.029998779296889,23.029998779296900,"10","8","1",-39.590736389160199,"188",-71.132911682128906,17.462224960327099,"3956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",2.147042751312260,6.631817817687990,4.484775066375730,7.892671585083010,0.707688629627228,305.782867431641023,297.889984130859034,3.261922359466550,-42.309997558593800,31.659999847412099,346.648712158203011,300.446624755859034,82.029998779296889,23.059999465942401,"10","8","1",-39.591346740722699,"188",-71.137992858886705,17.462224960327099,"3957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",2.279201507568360,6.565890789031980,4.286689281463621,7.413208484649660,0.610870957374573,303.388732910156023,295.975311279296932,0.890695095062256,-42.270000457763707,31.639999389648398,333.270477294921989,300.741516113281023,82.119995117187500,23.219999313354499,"10","8","1",-39.590827941894503,"189",-71.164634704589801,3.840412855148320,"3962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","1",1.246470928192140,5.770561218261720,4.524090290069580,9.754135131835939,0.819781303405762,309.940582275391023,300.186431884766023,13.401910781860400,-42.450000762939503,31.679998397827099,352.834228515625000,305.641998291016023,82.150001525878906,22.600000381469702,"10","8","1",-39.574935913085902,"190",-71.062187194824205,42.641487121582003,"3942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",1.199064254760740,5.652049541473390,4.452985286712650,9.688667297363279,0.819781303405762,309.938446044921989,300.249786376953011,13.401910781860400,-42.439998626708999,31.679998397827099,334.176208496093977,301.122161865233977,82.159996032714801,22.629999160766602,"10","8","1",-39.575538635253899,"190",-71.067230224609403,42.641487121582003,"3943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
"0","0",1.070930004119870,4.424907207489010,3.353977203369140,7.672455310821530,0.944807231426239,309.460876464843977,301.788513183593977,1.295065402984620,-41.950000762939503,31.559999465942401,342.999328613281023,307.523986816406023,82.259994506835895,24.299999237060501,"10","8","1",-39.609508514404297,"190",-71.355323791503906,4.913154125213620,"3997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./0.png
